classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
61211890,not-logged-in-10a22493bc5fe1c9477f,,10a22493bc5fe1c9477f,4351,Images (Part I),6.13,2017-06-24 16:44:43 UTC,,,"{""session"":""2b0a88ce71c8db0d5df116d113871550da27e54d5d661293bc81468765e72c3d"",""viewport"":{""width"":360,""height"":286},""started_at"":""2017-06-24T16:32:49.361Z"",""user_agent"":""Mozilla/5.0 (Linux; Android 7.0; SM-G930F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/129.0.0.29.67;]"",""utc_offset"":""-3600"",""finished_at"":""2017-06-24T16:44:42.715Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":309,""clientHeight"":227,""naturalWidth"":533,""naturalHeight"":391}]}","[{""task"":""T1"",""value"":""Vertical Bar chart Graph along y axis shows the Average Temperature in london per month. On the y axis it states temperature in units of celsius, on the x axis it states the month. The y axis scale is such that it goes from 0 to 20 celsius in increments of 1 unit of celsius. The x axis goes through in chronological order the months start with January ending at December. The trend of this graph is a wave peaking at july and august at 18.5 Celsius. "",""task_label"":""Describe the contents of the image""}]","{""10535492"":{""retired"":null,""Filename"":""AT1.jpg""}}",10535492
61212057,not-logged-in-3f8a12ea6058caa3748f,,3f8a12ea6058caa3748f,4351,Images (Part I),6.13,2017-06-24 16:47:01 UTC,,,"{""session"":""8fb390ffb65e7591862c813f531783f1b746011148f2df4e2cb2720cbe8d288f"",""viewport"":{""width"":352,""height"":567},""started_at"":""2017-06-24T16:42:48.736Z"",""user_agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Mobile/14E304 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.1;FBSS/2;FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]"",""utc_offset"":""-3600"",""finished_at"":""2017-06-24T16:47:00.474Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":302,""clientHeight"":302,""naturalWidth"":800,""naturalHeight"":800}]}","[{""task"":""T1"",""value"":""The image shows an untitled diagram. It shows a lattice structure, a grid of 42, 6 sided regular polygons. Off the corners of three of these polygons extend an arm, with 'OH' at the end. Off the corner of two polygons extend an arm, off the end of which extend 2 more arms; one arm has 'OH' at the end, the other is an arm with two parallel lines, with an 'O' at the end."",""task_label"":""Describe the contents of the image""}]","{""10535495"":{""retired"":null,""Filename"":""Graphene.jpg""}}",10535495
61212301,not-logged-in-3f8a12ea6058caa3748f,,3f8a12ea6058caa3748f,4351,Images (Part I),6.13,2017-06-24 16:50:18 UTC,,,"{""session"":""8fb390ffb65e7591862c813f531783f1b746011148f2df4e2cb2720cbe8d288f"",""viewport"":{""width"":352,""height"":567},""started_at"":""2017-06-24T16:47:01.778Z"",""user_agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Mobile/14E304 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.1;FBSS/2;FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]"",""utc_offset"":""-3600"",""finished_at"":""2017-06-24T16:50:17.690Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":302,""clientHeight"":260,""naturalWidth"":604,""naturalHeight"":520}]}","[{""task"":""T1"",""value"":""Image shows a pie chart entitled  \""US carbon emissions 2015\"". It has 5 segments of different weightings; electricity (36%), transportation (32%), industry (15%), residential and commercial (10%) and other (7%)."",""task_label"":""Describe the contents of the image""}]","{""10535493"":{""retired"":null,""Filename"":""CE1.jpg""}}",10535493
61212656,not-logged-in-56ebc9c4d89713d3edaa,,56ebc9c4d89713d3edaa,4351,Images (Part I),6.13,2017-06-24 16:54:34 UTC,,,"{""session"":""8fb390ffb65e7591862c813f531783f1b746011148f2df4e2cb2720cbe8d288f"",""viewport"":{""width"":375,""height"":605},""started_at"":""2017-06-24T16:50:18.998Z"",""user_agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Mobile/14E304 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.1;FBSS/2;FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]"",""utc_offset"":""-3600"",""finished_at"":""2017-06-24T16:54:34.218Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":300,""clientHeight"":400,""naturalWidth"":300,""naturalHeight"":400}]}","[{""task"":""T1"",""value"":""The image shows an unlabelled diagram. It shows two black lines on an intercept course from the left, the top on labelled n and the bottom one labelled P+. When they intercept, a curved line emerges right. It is a wavey curve, with one maxima and two minima. This segment is marked W+. At the end of this line two straight lines emerge, both with positive gradients. The steeper one is labelled e+, the shallower is labelled v subscript e."",""task_label"":""Describe the contents of the image""}]","{""10535498"":{""retired"":null,""Filename"":""Pdecay.jpg""}}",10535498
61212684,not-logged-in-56ebc9c4d89713d3edaa,,56ebc9c4d89713d3edaa,4351,Images (Part I),6.13,2017-06-24 16:54:52 UTC,,,"{""session"":""8fb390ffb65e7591862c813f531783f1b746011148f2df4e2cb2720cbe8d288f"",""viewport"":{""width"":352,""height"":567},""started_at"":""2017-06-24T16:54:35.408Z"",""user_agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Mobile/14E304 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.1;FBSS/2;FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]"",""utc_offset"":""-3600"",""finished_at"":""2017-06-24T16:54:52.161Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":302,""clientHeight"":241,""naturalWidth"":449,""naturalHeight"":359}]}","[{""task"":""T1"",""value"":"""",""task_label"":""Describe the contents of the image""}]","{""10535494"":{""retired"":null,""Filename"":""Eye1.jpg""}}",10535494
61212694,not-logged-in-56ebc9c4d89713d3edaa,,56ebc9c4d89713d3edaa,4351,Images (Part I),6.13,2017-06-24 16:54:58 UTC,,,"{""session"":""8fb390ffb65e7591862c813f531783f1b746011148f2df4e2cb2720cbe8d288f"",""viewport"":{""width"":352,""height"":567},""started_at"":""2017-06-24T16:54:55.217Z"",""user_agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Mobile/14E304 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.1;FBSS/2;FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]"",""utc_offset"":""-3600"",""finished_at"":""2017-06-24T16:54:57.748Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":302,""clientHeight"":221,""naturalWidth"":533,""naturalHeight"":391}]}","[{""task"":""T1"",""value"":"""",""task_label"":""Describe the contents of the image""}]","{""10535492"":{""retired"":null,""Filename"":""AT1.jpg""}}",10535492
61212705,not-logged-in-56ebc9c4d89713d3edaa,,56ebc9c4d89713d3edaa,4351,Images (Part I),6.13,2017-06-24 16:55:02 UTC,,,"{""session"":""8fb390ffb65e7591862c813f531783f1b746011148f2df4e2cb2720cbe8d288f"",""viewport"":{""width"":352,""height"":567},""started_at"":""2017-06-24T16:54:58.902Z"",""user_agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Mobile/14E304 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.1;FBSS/2;FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]"",""utc_offset"":""-3600"",""finished_at"":""2017-06-24T16:55:01.643Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":302,""clientHeight"":452,""naturalWidth"":400,""naturalHeight"":600}]}","[{""task"":""T1"",""value"":"""",""task_label"":""Describe the contents of the image""}]","{""10535496"":{""retired"":null,""Filename"":""HeatEngine.jpg""}}",10535496
61212709,not-logged-in-56ebc9c4d89713d3edaa,,56ebc9c4d89713d3edaa,4351,Images (Part I),6.13,2017-06-24 16:55:05 UTC,,,"{""session"":""8fb390ffb65e7591862c813f531783f1b746011148f2df4e2cb2720cbe8d288f"",""viewport"":{""width"":352,""height"":527},""started_at"":""2017-06-24T16:55:02.688Z"",""user_agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Mobile/14E304 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.1;FBSS/2;FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]"",""utc_offset"":""-3600"",""finished_at"":""2017-06-24T16:55:05.089Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":302,""clientHeight"":221,""naturalWidth"":533,""naturalHeight"":391}]}","[{""task"":""T1"",""value"":"""",""task_label"":""Describe the contents of the image""}]","{""10535492"":{""retired"":null,""Filename"":""AT1.jpg""}}",10535492
61212714,not-logged-in-56ebc9c4d89713d3edaa,,56ebc9c4d89713d3edaa,4351,Images (Part I),6.13,2017-06-24 16:55:07 UTC,,,"{""session"":""8fb390ffb65e7591862c813f531783f1b746011148f2df4e2cb2720cbe8d288f"",""viewport"":{""width"":352,""height"":527},""started_at"":""2017-06-24T16:55:06.106Z"",""user_agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Mobile/14E304 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.1;FBSS/2;FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]"",""utc_offset"":""-3600"",""finished_at"":""2017-06-24T16:55:07.240Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":302,""clientHeight"":210,""naturalWidth"":542,""naturalHeight"":377}]}","[{""task"":""T1"",""value"":"""",""task_label"":""Describe the contents of the image""}]","{""10535500"":{""retired"":null,""Filename"":""VT1.jpg""}}",10535500
61212718,not-logged-in-56ebc9c4d89713d3edaa,,56ebc9c4d89713d3edaa,4351,Images (Part I),6.13,2017-06-24 16:55:09 UTC,,,"{""session"":""8fb390ffb65e7591862c813f531783f1b746011148f2df4e2cb2720cbe8d288f"",""viewport"":{""width"":352,""height"":527},""started_at"":""2017-06-24T16:55:08.140Z"",""user_agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Mobile/14E304 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.1;FBSS/2;FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]"",""utc_offset"":""-3600"",""finished_at"":""2017-06-24T16:55:09.228Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":286,""clientHeight"":205,""naturalWidth"":286,""naturalHeight"":205}]}","[{""task"":""T1"",""value"":"""",""task_label"":""Describe the contents of the image""}]","{""10535491"":{""retired"":null,""Filename"":""1.jpg""}}",10535491
