subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason
10591483,4786,4351,12945,"{""id"":""14"",""image1"":""Eye.jpg"",""image2"":""EyeA2.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/722fa111-8fbe-44ae-9085-13a1c5b26f6e.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6074aada-2b4a-4592-bfb0-5034bfb930f1.png""}",7,,
10591483,4786,4459,12945,"{""id"":""14"",""image1"":""Eye.jpg"",""image2"":""EyeA2.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/722fa111-8fbe-44ae-9085-13a1c5b26f6e.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6074aada-2b4a-4592-bfb0-5034bfb930f1.png""}",0,,
10591484,4786,4351,12945,"{""id"":""15"",""image1"":""Eye.jpg"",""image2"":""EyeA3.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/7dc74e9d-259f-4510-b6e8-040b3fb1d252.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/aefe30a5-dd89-44e7-90de-b0b5471b7b0f.png""}",7,,
10591484,4786,4459,12945,"{""id"":""15"",""image1"":""Eye.jpg"",""image2"":""EyeA3.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/7dc74e9d-259f-4510-b6e8-040b3fb1d252.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/aefe30a5-dd89-44e7-90de-b0b5471b7b0f.png""}",0,,
10591485,4786,4351,12945,"{""id"":""16"",""image1"":""Feynmann.jpg"",""image2"":""PdecayA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/fce6c894-957a-4ce8-86d6-9529b49ae1ba.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/8af71b33-7a66-49a5-bd60-4b796db19d25.png""}",7,,
10591485,4786,4459,12945,"{""id"":""16"",""image1"":""Feynmann.jpg"",""image2"":""PdecayA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/fce6c894-957a-4ce8-86d6-9529b49ae1ba.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/8af71b33-7a66-49a5-bd60-4b796db19d25.png""}",0,,
10591486,4786,4351,12945,"{""id"":""17"",""image1"":""Feynmann.jpg"",""image2"":""PdecayA2.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/c721c5c9-20a5-47d4-84dd-b70182c18f54.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/f1780387-8804-4030-93b0-85c963cf328f.png""}",7,,
10591486,4786,4459,12945,"{""id"":""17"",""image1"":""Feynmann.jpg"",""image2"":""PdecayA2.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/c721c5c9-20a5-47d4-84dd-b70182c18f54.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/f1780387-8804-4030-93b0-85c963cf328f.png""}",0,,
10591487,4786,4351,12945,"{""id"":""18"",""image1"":""Feynmann.jpg"",""image2"":""PdecayA3.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/9bf3e5e7-8f8c-4ab8-b169-7472636ce156.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/367db6a3-da91-4f62-b101-45c3af9eac13.png""}",7,,
10591487,4786,4459,12945,"{""id"":""18"",""image1"":""Feynmann.jpg"",""image2"":""PdecayA3.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/9bf3e5e7-8f8c-4ab8-b169-7472636ce156.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/367db6a3-da91-4f62-b101-45c3af9eac13.png""}",0,,
